"V1" "V2" "V3" "V4"
"1" 0.84975972509107 0.199353846581849 -3.56947018146057 -10.6759917713501
"2" 0.498098726608676 0.214372930618456 -3.45195420333433 -10.4040528543737
"3" 0.932818349593011 0.192261797848869 -3.70692075764533 -12.9083816978035
"4" 0.876406973814199 0.253004989411456 -3.26491022386008 -10.9786186327071
"5" 0.597244900472438 0.17972683927017 -3.0212497364539 -10.0568624913221
"6" 0.927930160237996 0.183039655186859 -3.17378505784289 -8.3238627071501
"7" 0.912082153731528 0.222982198826677 -4.71699737204876 -8.93098072592855
"8" 0.786602613466547 0.186739056244248 -3.75757145199176 -9.70899121790417
"9" 0.851229120903399 0.181787473397008 -3.20975091306186 -10.5967582709933
"10" 0.758507440524566 0.283722530410458 -2.61607859360564 -11.5558809526292
"11" 0.861668934319702 0.21559068092204 -3.2071278522561 -11.2372541772518
"12" 0.751940486825528 0.137809807305968 -2.8370541897444 -12.9519191224788
"13" 0.251585023795362 0.217034852104571 -3.19372053930069 -11.6179015178308
"14" 0.553111113163024 0.115145256475439 -2.5818148162305 -9.42665944401861
"15" 0.939565283010221 0.114443224105768 -3.02400486662124 -9.24127179559036
"16" 0.858810597770182 0.206532444371839 -3.24045273296007 -8.54379905352922
"17" 0.783390899086112 0.205469948400678 -2.63170485535928 -10.779341226601
"18" 0.282494666988497 0.064308843516528 -3.12366457869901 -11.372817133739
"19" 0.422477274712986 0.156196151382039 -2.97623623569453 -14.4503695498549
"20" 0.717770145749164 0.214991143472023 -4.22692816664164 -15.4546826042005
"21" 0.958178422869873 0.233743803781304 -3.21382520833315 -15.9664020845557
"22" 0.345710719750527 0.065370064411975 -3.02184923271286 -18.4453867865395
"23" 0.601795271439622 0.134235470113805 -2.3541828717345 -19.5489411861727
"24" 0.837444728465485 0.216682984694178 -5.20885438953659 -18.6093277344432
"25" 0.590453805827617 0.156736812241469 -5.32274558084411 -20.5647217735344
"26" 0.844321298251665 0.17529452436508 -7.59584964098425 -21.8556966045854
"27" 0.178755076031115 0.139643463902135 -9.75566916766099 -22.6107387783462
"28" 0.514749947209008 0.0795759729712804 -11.5681911157422 -22.8762174686531
