"rmsehom" "rmsehet" "rmsehetseq" "rmsehomsd" "rmsehetsd" "rmsehetseqsd" "scorehom" "scorehet" "scorehetseq"
"1" 2.03410776768611 1.99313596902173 1.7546994509392 1.67608303486739 1.92092442069738 1.44599616889594 -4.10929697211718 -4.44522243970924 -3.83145774692832
"2" 2.29113556950499 2.21589054694087 1.77956089922079 1.69312168075957 1.18372450381256 1.46920653023403 -4.14487908453996 -3.96099078261001 -3.9554866263373
"3" 2.01961458166508 1.82493260491628 1.52477852286901 1.71031189237598 0.916985913905603 1.48856886533339 -4.09351843170084 -3.90384792085042 -3.89009948232512
"4" 2.22012562085331 2.14601942181205 1.6489272121111 1.70599378333863 1.02166348693112 1.26133615268947 -4.1830060633993 -4.02372166058139 -4.17862697761083
"5" 1.96473664294914 2.00203487979971 1.67102593616339 1.68542986006292 1.02815345551641 1.45767745778411 -4.10893791145001 -4.05328152194063 -4.06945394551375
"6" 2.10492514254097 2.04488382184881 1.92353998202284 1.69945252311112 0.993620080468092 1.11926855446968 -3.87878154594587 -3.84722051509932 -5.26636989918702
"7" 2.05150530205852 1.95236215343136 1.68519397221898 1.6984477165886 0.813452646704881 1.43526495405244 -4.01696385104649 -3.91832261782129 -3.74285249070342
"8" 2.30432353412664 2.31784768875551 1.87240976050022 1.67755473394529 0.915088815327434 1.49550245561647 -4.18602748743311 -4.02240307615542 -3.9357120374883
"9" 2.06448454780349 2.02354902775842 1.87253855284662 1.71259378739101 1.34508326062044 1.45726026788135 -3.96733577590147 -3.8535743188357 -3.83162660675424
"10" 1.90168663981327 1.89928804602502 1.73365958362465 1.76635117475521 0.791050865190111 1.47355272308706 -3.96176828366606 -3.78865207022629 -3.87098576269777
"11" 1.78996111412474 2.04962792967804 1.48590676296307 1.67666166525209 1.33571711854546 1.22989303381617 -4.05368190267556 -4.15832362768199 -3.76834983515273
"12" 1.96139273942893 1.97129504035695 1.97280961218575 1.69261849216406 1.17155495974717 1.48215029520557 -4.22874112739222 -4.35097612045184 -4.1180124243537
"13" 2.08977651346253 2.11394623278794 1.6587674668584 1.6834459297222 1.2040570079115 1.43372771738927 -4.10337668840013 -3.95812052053158 -3.82714597704303
